YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2024,1933,0,1023,Texas,7,32,32,
2024,1932,0,1024,Tennessee,2,1,32,
2024,1931,0,1017,Virginia,10,32,32,
2024,1930,0,1024,Tennessee,2,1,32,
2024,1929,0,1068,Colorado St.,10,32,32,
2024,1928,0,1054,Illinois,3,1,32,
2024,1927,0,1073,BYU,6,32,32,
2024,1926,0,1054,Illinois,3,1,32,
2024,1925,0,1062,Duquesne,11,32,32,
2024,1924,0,1075,Baylor,3,1,32,
2024,1923,0,1072,Clemson,6,32,32,
2024,1922,0,1075,Baylor,3,1,32,
2024,1921,0,1039,New Mexico,11,32,32,
2024,1920,0,1050,Kentucky,3,1,32,
2024,1919,0,1021,Texas Tech,6,32,32,
2024,1918,0,1050,Kentucky,3,1,32,
2024,1917,0,1037,North Carolina St.,11,32,32,
2024,1916,0,1066,Creighton,3,1,32,
2024,1915,0,1028,South Carolina,6,32,32,
2024,1914,0,1066,Creighton,3,1,32,
2024,1913,0,1034,Oregon,11,32,32,
2024,1912,0,1076,Auburn,4,1,32,
2024,1911,0,1029,San Diego St.,5,32,32,
2024,1910,0,1078,Alabama,4,1,32,
2024,1909,0,1032,Saint Mary's,5,32,32,
2024,1908,0,1063,Duke,4,1,32,
2024,1907,0,1013,Wisconsin,5,32,32,
2024,1906,0,1051,Kansas,4,1,32,
2024,1905,0,1059,Gonzaga,5,32,32,
2024,1904,0,1067,Connecticut,1,1,16,
2024,1903,0,1076,Auburn,4,16,16,
2024,1902,0,1067,Connecticut,1,1,16,
2024,1901,0,1029,San Diego St.,5,16,16,
2024,1900,0,1038,North Carolina,1,1,16,
2024,1899,0,1078,Alabama,4,16,16,
2024,1898,0,1038,North Carolina,1,1,16,
2024,1897,0,1032,Saint Mary's,5,16,16,
2024,1896,0,1056,Houston,1,1,16,
2024,1895,0,1063,Duke,4,16,16,
2024,1894,0,1056,Houston,1,1,16,
2024,1893,0,1013,Wisconsin,5,16,16,
2024,1892,0,1033,Purdue,1,1,16,
2024,1891,0,1051,Kansas,4,16,16,
2024,1890,0,1033,Purdue,1,1,16,
2024,1889,0,1059,Gonzaga,5,16,16,
2023,1888,1888,1011,Alabama,1,16,64,96
2023,1887,1887,955,Texas A&M Corpus Chris,16,64,64,75
2023,1886,1886,979,Maryland,8,32,64,67
2023,1885,1885,945,West Virginia,9,64,64,65
2023,1884,1884,961,San Diego St.,5,2,64,63
2023,1883,1883,1003,College of Charleston,12,64,64,57
2023,1882,1882,946,Virginia,4,64,64,67
2023,1881,1881,996,Furman,13,32,64,68
2023,1880,1880,1001,Creighton,6,8,64,72
2023,1879,1879,971,North Carolina St.,11,64,64,63
2023,1878,1878,1006,Baylor,3,32,64,74
2023,1877,1877,953,UC Santa Barbara,14,64,64,56
2023,1876,1876,974,Missouri,7,32,64,76
2023,1875,1875,949,Utah St.,10,64,64,65
2023,1874,1874,1010,Arizona,2,64,64,55
2023,1873,1873,965,Princeton,15,16,64,59
2023,1872,1872,963,Purdue,1,64,64,58
2023,1871,1871,998,Fairleigh Dickinson,16,32,64,63
2023,1870,1870,978,Memphis,8,64,64,65
2023,1869,1869,997,Florida Atlantic,9,4,64,66
2023,1868,1868,999,Duke,5,32,64,74
2023,1867,1867,968,Oral Roberts,12,64,64,51
2023,1866,1866,958,Tennessee,4,16,64,58
2023,1865,1865,981,Louisiana Lafayette,13,64,64,55
2023,1864,1864,982,Kentucky,6,32,64,61
2023,1863,1863,964,Providence,11,64,64,53
2023,1862,1862,985,Kansas St.,3,8,64,77
2023,1861,1861,973,Montana St.,14,64,64,65
2023,1860,1860,976,Michigan St.,7,16,64,72
2023,1859,1859,950,USC,10,64,64,62
2023,1858,1858,980,Marquette,2,32,64,78
2023,1857,1857,947,Vermont,15,64,64,61
2023,1856,1856,993,Houston,1,16,64,63
2023,1855,1855,970,Northern Kentucky,16,64,64,52
2023,1854,1854,988,Iowa,8,64,64,75
2023,1853,1853,1007,Auburn,9,32,64,83
2023,1852,1852,977,Miami FL,5,4,64,63
2023,1851,1851,1000,Drake,12,64,64,56
2023,1850,1850,990,Indiana,4,32,64,71
2023,1849,1849,983,Kent St.,13,64,64,60
2023,1848,1848,987,Iowa St.,6,64,64,41
2023,1847,1847,966,Pittsburgh,11,32,64,59
2023,1846,1846,944,Xavier,3,16,64,72
2023,1845,1845,984,Kennesaw St.,14,64,64,67
2023,1844,1844,956,Texas A&M,7,64,64,59
2023,1843,1843,967,Penn St.,10,32,64,76
2023,1842,1842,957,Texas ,2,8,64,81
2023,1841,1841,1004,Colgate,15,64,64,61
2023,1840,1840,986,Kansas,1,32,64,96
2023,1839,1839,992,Howard,16,64,64,68
2023,1838,1838,1008,Arkansas,8,16,64,73
2023,1837,1837,991,Illinois,9,64,64,63
2023,1836,1836,962,Saint Mary's,5,32,64,63
2023,1835,1835,948,VCU,12,64,64,51
2023,1834,1834,1002,Connecticut,4,1,64,87
2023,1833,1833,989,Iona,13,64,64,63
2023,1832,1832,959,TCU,6,32,64,72
2023,1831,1831,1009,Arizona St.,11,64,64,70
2023,1830,1830,995,Gonzaga,3,8,64,82
2023,1829,1829,994,Grand Canyon,14,64,64,70
2023,1828,1828,969,Northwestern,7,32,64,75
2023,1827,1827,1005,Boise St.,10,64,64,67
2023,1826,1826,952,UCLA,2,16,64,86
2023,1825,1825,951,UNC Asheville,15,64,64,53
2023,1824,930,1011,Alabama,1,16,32,73
2023,1823,929,979,Maryland,8,32,32,51
2023,1822,928,961,San Diego St.,5,2,32,75
2023,1821,927,996,Furman,13,32,32,52
2023,1820,926,1001,Creighton,6,8,32,85
2023,1819,925,1006,Baylor,3,32,32,76
2023,1818,924,974,Missouri,7,32,32,63
2023,1817,923,965,Princeton,15,16,32,78
2023,1816,922,998,Fairleigh Dickinson,16,32,32,70
2023,1815,921,997,Florida Atlantic,9,4,32,78
2023,1814,920,999,Duke,5,32,32,52
2023,1813,919,958,Tennessee,4,16,32,65
2023,1812,918,982,Kentucky,6,32,32,69
2023,1811,917,985,Kansas St.,3,8,32,75
2023,1810,916,976,Michigan St.,7,16,32,69
2023,1809,915,980,Marquette,2,32,32,60
2023,1808,914,993,Houston,1,16,32,81
2023,1807,913,1007,Auburn,9,32,32,64
2023,1806,912,977,Miami FL,5,4,32,85
2023,1805,911,990,Indiana,4,32,32,69
2023,1804,910,966,Pittsburgh,11,32,32,73
2023,1803,909,944,Xavier,3,16,32,84
2023,1802,908,967,Penn St.,10,32,32,66
2023,1801,907,957,Texas ,2,8,32,71
2023,1800,906,986,Kansas,1,32,32,71
2023,1799,905,1008,Arkansas,8,16,32,72
2023,1798,904,962,Saint Mary's,5,32,32,55
2023,1797,903,1002,Connecticut,4,1,32,70
2023,1796,902,959,TCU,6,32,32,81
2023,1795,901,995,Gonzaga,3,8,32,84
2023,1794,900,969,Northwestern,7,32,32,63
2023,1793,899,952,UCLA,2,16,32,68
2023,1792,450,1011,Alabama,1,16,16,64
2023,1791,449,961,San Diego St.,5,2,16,71
2023,1790,448,1001,Creighton,6,8,16,86
2023,1789,447,965,Princeton,15,16,16,75
2023,1788,446,997,Florida Atlantic,9,4,16,62
2023,1787,445,958,Tennessee,4,16,16,55
2023,1786,444,985,Kansas St.,3,8,16,98
2023,1785,443,976,Michigan St.,7,16,16,93
2023,1784,442,993,Houston,1,16,16,75
2023,1783,441,977,Miami FL,5,4,16,89
2023,1782,440,944,Xavier,3,16,16,71
2023,1781,439,957,Texas ,2,8,16,83
2023,1780,438,1008,Arkansas,8,16,16,65
2023,1779,437,1002,Connecticut,4,1,16,88
2023,1778,436,995,Gonzaga,3,8,16,79
2023,1777,435,952,UCLA,2,16,16,76
2023,1776,210,961,San Diego St.,5,2,8,57
2023,1775,209,1001,Creighton,6,8,8,56
2023,1774,208,997,Florida Atlantic,9,4,8,79
2023,1773,207,985,Kansas St.,3,8,8,76
2023,1772,206,977,Miami FL,5,4,8,88
2023,1771,205,957,Texas ,2,8,8,81
2023,1770,204,1002,Connecticut,4,1,8,82
2023,1769,203,995,Gonzaga,3,8,8,54
2023,1768,90,961,San Diego St.,5,2,4,72
2023,1767,89,997,Florida Atlantic,9,4,4,71
2023,1766,88,977,Miami FL,5,4,4,59
2023,1765,87,1002,Connecticut,4,1,4,72
2023,1764,30,961,San Diego St.,5,2,2,59
2023,1763,29,1002,Connecticut,4,1,2,76
2022,1762,1824,925,Gonzaga,1,16,64,93
2022,1761,1823,926,Georgia St.,16,64,64,72
2022,1760,1822,937,Boise St.,8,64,64,53
2022,1759,1821,912,Memphis,9,32,64,64
2022,1758,1820,931,Connecticut,5,64,64,63
2022,1757,1819,906,New Mexico St.,12,32,64,70
2022,1756,1818,940,Arkansas,4,8,64,75
2022,1755,1817,882,Vermont,13,64,64,71
2022,1754,1816,942,Alabama,6,64,64,64
2022,1753,1815,903,Notre Dame,11,32,64,78
2022,1752,1814,886,Texas Tech,3,16,64,97
2022,1751,1813,908,Montana St.,14,64,64,62
2022,1750,1812,909,Michigan St.,7,32,64,74
2022,1749,1811,929,Davidson,10,64,64,73
2022,1748,1810,927,Duke,2,4,64,78
2022,1747,1809,935,Cal St. Fullerton,15,64,64,61
2022,1746,1808,938,Baylor,1,32,64,85
2022,1745,1807,905,Norfolk St.,16,64,64,49
2022,1744,1806,904,North Carolina,8,2,64,95
2022,1743,1805,913,Marquette,9,64,64,63
2022,1742,1804,897,Saint Mary's,5,32,64,82
2022,1741,1803,922,Indiana,12,64,64,53
2022,1740,1802,884,UCLA,4,16,64,57
2022,1739,1801,943,Akron,13,64,64,53
2022,1738,1800,889,Texas,6,32,64,81
2022,1737,1799,880,Virginia Tech,11,64,64,73
2022,1736,1798,900,Purdue,3,16,64,78
2022,1735,1797,876,Yale,14,64,64,56
2022,1734,1796,907,Murray St.,7,32,64,92
2022,1733,1795,894,San Francisco,10,64,64,87
2022,1732,1794,917,Kentucky,2,64,64,79
2022,1731,1793,896,Saint Peter's,15,8,64,85
2022,1730,1792,941,Arizona,1,16,64,87
2022,1729,1791,878,Wright St.,16,64,64,70
2022,1728,1790,893,Seton Hall,8,64,64,42
2022,1727,1789,891,TCU,9,32,64,69
2022,1726,1788,924,Houston,5,8,64,82
2022,1725,1787,885,UAB,12,64,64,68
2022,1724,1786,923,Illinois,4,32,64,54
2022,1723,1785,934,Chattanooga,13,64,64,53
2022,1722,1784,932,Colorado St.,6,64,64,63
2022,1721,1783,910,Michigan,11,16,64,75
2022,1720,1782,890,Tennessee,3,32,64,88
2022,1719,1781,916,Longwood,14,64,64,56
2022,1718,1780,902,Ohio St.,7,32,64,54
2022,1717,1779,915,Loyola Chicago,10,64,64,41
2022,1716,1778,881,Villanova,2,4,64,80
2022,1715,1777,928,Delaware,15,64,64,60
2022,1714,1776,918,Kansas,1,1,64,83
2022,1713,1775,887,Texas Southern,16,64,64,56
2022,1712,1774,895,San Diego St.,8,64,64,69
2022,1711,1773,930,Creighton,9,32,64,72
2022,1710,1772,921,Iowa,5,64,64,63
2022,1709,1771,899,Richmond,12,32,64,67
2022,1708,1770,901,Providence,4,16,64,66
2022,1707,1769,892,South Dakota St.,13,64,64,57
2022,1706,1768,914,LSU,6,64,64,54
2022,1705,1767,920,Iowa St.,11,16,64,59
2022,1704,1766,879,Wisconsin,3,32,64,67
2022,1703,1765,933,Colgate,14,64,64,60
2022,1702,1764,883,USC,7,64,64,66
2022,1701,1763,911,Miami FL,10,8,64,68
2022,1700,1762,939,Auburn,2,32,64,80
2022,1699,1761,919,Jacksonville St.,15,64,64,61
2022,1698,898,925,Gonzaga,1,16,32,82
2022,1697,897,912,Memphis,9,32,32,78
2022,1696,896,906,New Mexico St.,12,32,32,48
2022,1695,895,940,Arkansas,4,8,32,53
2022,1694,894,903,Notre Dame,11,32,32,53
2022,1693,893,886,Texas Tech,3,16,32,59
2022,1692,892,909,Michigan St.,7,32,32,76
2022,1691,891,927,Duke,2,4,32,85
2022,1690,890,938,Baylor,1,32,32,86
2022,1689,889,904,North Carolina,8,2,32,93
2022,1688,888,897,Saint Mary's,5,32,32,56
2022,1687,887,884,UCLA,4,16,32,72
2022,1686,886,889,Texas,6,32,32,71
2022,1685,885,900,Purdue,3,16,32,81
2022,1684,884,907,Murray St.,7,32,32,60
2022,1683,883,896,Saint Peter's,15,8,32,70
2022,1682,882,941,Arizona,1,16,32,85
2022,1681,881,891,TCU,9,32,32,80
2022,1680,880,924,Houston,5,8,32,68
2022,1679,879,923,Illinois,4,32,32,53
2022,1678,878,910,Michigan,11,16,32,76
2022,1677,877,890,Tennessee,3,32,32,68
2022,1676,876,902,Ohio St.,7,32,32,61
2022,1675,875,881,Villanova,2,4,32,71
2022,1674,874,918,Kansas,1,1,32,79
2022,1673,873,930,Creighton,9,32,32,72
2022,1672,872,899,Richmond,12,32,32,51
2022,1671,871,901,Providence,4,16,32,79
2022,1670,870,920,Iowa St.,11,16,32,54
2022,1669,869,879,Wisconsin,3,32,32,49
2022,1668,868,911,Miami FL,10,8,32,79
2022,1667,867,939,Auburn,2,32,32,61
2022,1666,434,925,Gonzaga,1,16,16,68
2022,1665,433,940,Arkansas,4,8,16,74
2022,1664,432,886,Texas Tech,3,16,16,73
2022,1663,431,927,Duke,2,4,16,78
2022,1662,430,904,North Carolina,8,2,16,73
2022,1661,429,884,UCLA,4,16,16,66
2022,1660,428,900,Purdue,3,16,16,64
2022,1659,427,896,Saint Peter's,15,8,16,67
2022,1658,426,941,Arizona,1,16,16,60
2022,1657,425,924,Houston,5,8,16,72
2022,1656,424,910,Michigan,11,16,16,55
2022,1655,423,881,Villanova,2,4,16,63
2022,1654,422,918,Kansas,1,1,16,66
2022,1653,421,901,Providence,4,16,16,61
2022,1652,420,920,Iowa St.,11,16,16,56
2022,1651,419,911,Miami FL,10,8,16,70
2022,1650,202,940,Arkansas,4,8,8,69
2022,1649,201,927,Duke,2,4,8,78
2022,1648,200,904,North Carolina,8,2,8,69
2022,1647,199,896,Saint Peter's,15,8,8,49
2022,1646,198,924,Houston,5,8,8,44
2022,1645,197,881,Villanova,2,4,8,50
2022,1644,196,918,Kansas,1,1,8,76
2022,1643,195,911,Miami FL,10,8,8,50
2022,1642,86,927,Duke,2,4,4,77
2022,1641,85,904,North Carolina,8,2,4,81
2022,1640,84,881,Villanova,2,4,4,65
2022,1639,83,918,Kansas,1,1,4,81
2022,1638,28,904,North Carolina,8,2,2,69
2022,1637,27,918,Kansas,1,1,2,72
2021,1636,1760,856,Gonzaga,1,2,64,98
2021,1635,1759,839,Norfolk St.,16,64,64,55
2021,1634,1758,834,Oklahoma,8,32,64,72
2021,1633,1757,842,Missouri,9,64,64,68
2021,1632,1756,864,Creighton,5,16,64,63
2021,1631,1755,820,UC Santa Barbara,12,64,64,62
2021,1630,1754,813,Virginia,4,64,64,58
2021,1629,1753,836,Ohio,13,32,64,62
2021,1628,1752,817,USC,6,8,64,72
2021,1627,1751,863,Drake,11,64,64,56
2021,1626,1750,849,Kansas,3,32,64,93
2021,1625,1749,861,Eastern Washington,14,64,64,84
2021,1624,1748,850,Iowa,2,32,64,86
2021,1623,1747,855,Grand Canyon,15,64,64,74
2021,1622,1746,844,Michigan,1,8,64,82
2021,1621,1745,822,Texas Southern,16,64,64,66
2021,1620,1744,846,LSU,8,32,64,76
2021,1619,1743,826,St. Bonaventure,9,64,64,61
2021,1618,1742,866,Colorado,5,32,64,96
2021,1617,1741,858,Georgetown,12,64,64,73
2021,1616,1740,859,Florida St.,4,16,64,64
2021,1615,1739,818,UNC Greensboro,13,64,64,54
2021,1614,1738,870,BYU,6,64,64,62
2021,1613,1737,819,UCLA,11,4,64,73
2021,1612,1736,823,Texas,3,64,64,52
2021,1611,1735,875,Abilene Christian,14,32,64,53
2021,1610,1734,865,Connecticut,7,64,64,54
2021,1609,1733,845,Maryland,10,32,64,63
2021,1608,1732,874,Alabama,2,16,64,68
2021,1607,1731,851,Iona,15,64,64,55
2021,1606,1730,871,Baylor,1,1,64,79
2021,1605,1729,854,Hartford,16,64,64,55
2021,1604,1728,838,North Carolina,8,64,64,62
2021,1603,1727,808,Wisconsin,9,32,64,85
2021,1602,1726,814,Villanova,5,16,64,73
2021,1601,1725,809,Winthrop,12,64,64,63
2021,1600,1724,829,Purdue,4,64,64,69
2021,1599,1723,837,North Texas,13,32,64,78
2021,1598,1722,821,Texas Tech,6,32,64,65
2021,1597,1721,816,Utah St.,11,64,64,53
2021,1596,1720,872,Arkansas,3,8,64,85
2021,1595,1719,867,Colgate,14,64,64,68
2021,1594,1718,860,Florida,7,32,64,75
2021,1593,1717,812,Virginia Tech,10,64,64,70
2021,1592,1716,835,Ohio St.,2,64,64,72
2021,1591,1715,832,Oral Roberts,15,16,64,75
2021,1590,1714,852,Illinois,1,32,64,78
2021,1589,1713,862,Drexel,16,64,64,49
2021,1588,1712,847,Loyola Chicago,8,16,64,71
2021,1587,1711,857,Georgia Tech,9,64,64,60
2021,1586,1710,824,Tennessee,5,64,64,56
2021,1585,1709,830,Oregon St.,12,8,64,70
2021,1584,1708,833,Oklahoma St.,4,32,64,69
2021,1583,1707,848,Liberty,13,64,64,60
2021,1582,1706,827,San Diego St.,6,64,64,62
2021,1581,1705,825,Syracuse,11,16,64,78
2021,1580,1704,811,West Virginia,3,32,64,84
2021,1579,1703,841,Morehead St.,14,64,64,67
2021,1578,1702,869,Clemson,7,64,64,56
2021,1577,1701,828,Rutgers,10,32,64,60
2021,1576,1700,853,Houston,2,4,64,87
2021,1575,1699,868,Cleveland St.,15,64,64,56
2021,1574,866,856,Gonzaga,1,2,32,87
2021,1573,865,834,Oklahoma,8,32,32,71
2021,1572,864,864,Creighton,5,16,32,72
2021,1571,863,836,Ohio,13,32,32,58
2021,1570,862,817,USC,6,8,32,85
2021,1569,861,849,Kansas,3,32,32,51
2021,1568,860,831,Oregon,7,16,32,95
2021,1567,859,850,Iowa,2,32,32,80
2021,1566,858,844,Michigan,1,8,32,86
2021,1565,857,846,LSU,8,32,32,78
2021,1564,856,866,Colorado,5,32,32,53
2021,1563,855,859,Florida St.,4,16,32,71
2021,1562,854,819,UCLA,11,4,32,67
2021,1561,853,875,Abilene Christian,14,32,32,47
2021,1560,852,845,Maryland,10,32,32,77
2021,1559,851,874,Alabama,2,16,32,96
2021,1558,850,871,Baylor,1,1,32,76
2021,1557,849,808,Wisconsin,9,32,32,63
2021,1556,848,814,Villanova,5,16,32,84
2021,1555,847,837,North Texas,13,32,32,61
2021,1554,846,821,Texas Tech,6,32,32,66
2021,1553,845,872,Arkansas,3,8,32,68
2021,1552,844,860,Florida,7,32,32,78
2021,1551,843,832,Oral Roberts,15,16,32,81
2021,1550,842,852,Illinois,1,32,32,58
2021,1549,841,847,Loyola Chicago,8,16,32,71
2021,1548,840,830,Oregon St.,12,8,32,80
2021,1547,839,833,Oklahoma St.,4,32,32,70
2021,1546,838,825,Syracuse,11,16,32,75
2021,1545,837,811,West Virginia,3,32,32,72
2021,1544,836,828,Rutgers,10,32,32,60
2021,1543,835,853,Houston,2,4,32,63
2021,1542,418,856,Gonzaga,1,2,16,83
2021,1541,417,864,Creighton,5,16,16,65
2021,1540,416,817,USC,6,8,16,82
2021,1539,415,831,Oregon,7,16,16,68
2021,1538,414,844,Michigan,1,8,16,76
2021,1537,413,859,Florida St.,4,16,16,58
2021,1536,412,819,UCLA,11,4,16,88
2021,1535,411,874,Alabama,2,16,16,78
2021,1534,410,871,Baylor,1,1,16,62
2021,1533,409,814,Villanova,5,16,16,51
2021,1532,408,872,Arkansas,3,8,16,72
2021,1531,407,832,Oral Roberts,15,16,16,70
2021,1530,406,847,Loyola Chicago,8,16,16,58
2021,1529,405,830,Oregon St.,12,8,16,65
2021,1528,404,825,Syracuse,11,16,16,46
2021,1527,403,853,Houston,2,4,16,62
2021,1526,194,856,Gonzaga,1,2,8,85
2021,1525,193,817,USC,6,8,8,66
2021,1524,192,844,Michigan,1,8,8,49
2021,1523,191,819,UCLA,11,4,8,51
2021,1522,190,871,Baylor,1,1,8,81
2021,1521,189,872,Arkansas,3,8,8,72
2021,1520,188,830,Oregon St.,12,8,8,61
2021,1519,187,853,Houston,2,4,8,67
2021,1518,82,856,Gonzaga,1,2,4,93
2021,1517,81,819,UCLA,11,4,4,90
2021,1516,80,871,Baylor,1,1,4,78
2021,1515,79,853,Houston,2,4,4,59
2021,1514,26,856,Gonzaga,1,2,2,70
2021,1513,25,871,Baylor,1,1,2,86
2019,1512,1698,798,Duke,1,8,64,85
2019,1511,1697,768,North Dakota St.,16,64,64,62
2019,1510,1696,748,VCU,8,64,64,58
2019,1509,1695,750,UCF,9,32,64,73
2019,1508,1694,775,Mississippi St.,5,64,64,76
2019,1507,1693,784,Liberty,12,32,64,80
2019,1506,1692,744,Virginia Tech,4,16,64,66
2019,1505,1691,759,Saint Louis,13,64,64,52
2019,1504,1690,780,Maryland,6,32,64,79
2019,1503,1689,803,Belmont,11,64,64,77
2019,1502,1688,782,LSU,3,16,64,79
2019,1501,1687,740,Yale,14,64,64,74
2019,1500,1686,783,Louisville,7,64,64,76
2019,1499,1685,777,Minnesota,10,32,64,86
2019,1498,1684,778,Michigan St.,2,4,64,76
2019,1497,1683,802,Bradley,15,64,64,65
2019,1496,1682,792,Gonzaga,1,8,64,87
2019,1495,1681,797,Fairleigh Dickinson,16,64,64,49
2019,1494,1680,755,Syracuse,8,64,64,69
2019,1493,1679,804,Baylor,9,32,64,78
2019,1492,1678,781,Marquette,5,64,64,64
2019,1491,1677,773,Murray St.,12,32,64,83
2019,1490,1676,795,Florida St.,4,16,64,76
2019,1489,1675,747,Vermont,13,64,64,69
2019,1488,1674,801,Buffalo,6,32,64,91
2019,1487,1673,806,Arizona St.,11,64,64,74
2019,1486,1672,752,Texas Tech,3,2,64,72
2019,1485,1671,766,Northern Kentucky,14,64,64,57
2019,1484,1670,772,Nevada,7,64,64,61
2019,1483,1669,796,Florida,10,32,64,70
2019,1482,1668,779,Michigan,2,16,64,74
2019,1481,1667,774,Montana,15,64,64,55
2019,1480,1666,745,Virginia,1,1,64,71
2019,1479,1665,794,Gardner Webb,16,64,64,56
2019,1478,1664,776,Mississippi,8,64,64,72
2019,1477,1663,764,Oklahoma,9,32,64,95
2019,1476,1662,742,Wisconsin,5,64,64,54
2019,1475,1661,762,Oregon,12,16,64,72
2019,1474,1660,786,Kansas St.,4,64,64,64
2019,1473,1659,751,UC Irvine,13,32,64,70
2019,1472,1658,746,Villanova,6,32,64,61
2019,1471,1657,758,Saint Mary's,11,64,64,57
2019,1470,1656,760,Purdue,3,8,64,61
2019,1469,1655,763,Old Dominion,14,64,64,48
2019,1468,1654,800,Cincinnati,7,64,64,72
2019,1467,1653,789,Iowa,10,32,64,79
