COACH ID,COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
114,James Jones,-0.1,117,0.2,86,4,1,3,0.25,3,1,0,0,0,0,0,0,3.00%,0.20%
115,Jamie Dixon,-4.8,309,-5.7,310,19,9,10,0.474,10,7,1,1,0,0,0,2,65.80%,20.70%
116,Jamion Christian,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
117,Jay Wright,4.8,8,4,14,40,29,11,0.725,13,11,6,4,4,2,2,7,92.90%,55.10%
118,Jeff Boals,0.6,64,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.30%,0.00%
119,Jeff Capel,1.6,30,1,45,8,5,3,0.625,3,3,1,1,0,0,0,1,17.40%,3.90%
120,Jeff Jones,-0.4,209,-0.4,207,3,0,3,0,3,0,0,0,0,0,0,0,0.20%,0.00%
121,Jeff Neubauer,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
122,Jerod Haase,0.8,51,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
123,Jerome Tang,1.5,33,1.2,39,4,3,1,0.75,1,1,1,1,0,0,0,0,7.60%,0.90%
124,Jim Boeheim,5.6,6,4.7,8,31,21,10,0.677,10,9,7,3,2,0,0,2,69.80%,20.80%
125,Jim Boyten,-0.9,247,-1.2,263,1,0,1,0,1,0,0,0,0,0,0,0,3.40%,0.30%
126,Jim Calhoun,3.2,18,2.7,23,13,10,3,0.769,4,2,2,2,2,1,1,1,44.80%,14.40%
127,Jim Christian,-0.6,225,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.60%,0.00%
128,Jim Crews,-0.3,188,-0.7,233,4,2,2,0.5,2,2,0,0,0,0,0,0,6.50%,1.00%
129,Jim Ferry,-0.3,188,-0.1,131,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
130,Jim Hayford,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
131,Jim Larranaga,3.7,15,3,20,20,12,8,0.6,8,5,4,2,1,0,0,1,31.80%,5.10%
132,Jim Les,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
133,Jimmy Patsos,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
134,Joe Callero,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
135,Joe Dooley,-0.3,188,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
136,Joe Golding,0.7,54,0.7,65,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
137,Joe Pasternack,-0.6,225,-0.7,233,2,0,2,0,2,0,0,0,0,0,0,0,0.30%,0.00%
138,John Becker,-1.6,282,-0.9,245,5,0,5,0,5,0,0,0,0,0,0,0,1.50%,0.00%
139,John Beilein,5.5,7,6.5,4,28,19,9,0.679,9,7,5,3,2,2,0,2,65.90%,21.50%
140,John Brannen,-0.1,117,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
141,John Calipari,7.8,3,10.5,1,51,39,12,0.765,13,12,10,8,5,3,1,8,98.90%,74.80%
142,John Dunne,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
143,John Gallagher,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
144,John Giannini,1.5,33,1.8,30,3,2,1,0.667,1,1,1,0,0,0,0,0,0.80%,0.00%
145,John Groce,2.1,25,2.4,24,8,4,4,0.5,4,3,1,0,0,0,0,0,4.80%,0.30%
146,John Pelphrey,0.4,73,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.00%
147,John Shulman,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
148,John Thompson,-5.8,310,-8,312,9,3,6,0.333,6,3,0,0,0,0,0,2,38.20%,7.30%
149,Johnny Dawkins,1.5,33,1.8,30,5,3,2,0.6,2,2,1,0,0,0,0,0,4.40%,0.30%
150,Johnny Jones,-0.8,240,-0.7,233,4,0,4,0,4,0,0,0,0,0,0,0,0.60%,0.00%
151,Jon Scheyer,-0.4,209,-0.2,156,2,1,1,0.5,1,1,0,0,0,0,0,0,8.70%,1.40%
152,Josh Pastner,-1.2,268,-1.6,280,7,2,5,0.286,5,2,0,0,0,0,0,0,10.80%,1.30%
153,Juwan Howard,1.5,33,1.1,42,7,5,2,0.714,2,2,2,1,0,0,0,1,29.40%,6.40%
154,Keith Dambrot,-0.8,240,-0.9,245,3,0,3,0,3,0,0,0,0,0,0,0,0.50%,0.00%
155,Kelvin Sampson,0.3,80,2.3,25,17,12,5,0.706,5,5,4,2,1,0,0,2,77.80%,32.40%
156,Ken Bone,-0.3,188,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
157,Ken McDonald,0.7,54,0.5,69,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
158,Kenny Blakeney,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
159,Keno Davis,-1.3,271,-1.2,263,1,0,1,0,1,0,0,0,0,0,0,0,7.60%,0.90%
160,Kermit Davis,-0.3,188,-0.2,156,3,1,2,0.333,2,1,0,0,0,0,0,0,2.10%,0.10%
161,Kermit Davis Jr,0.8,51,0.9,47,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
162,Kevin Broadus,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
163,Kevin Keatts,-1.8,287,-2,292,4,0,4,0,4,0,0,0,0,0,0,0,3.60%,0.20%
164,Kevin O'Neill,-0.7,234,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,2.60%,0.20%
165,Kevin Ollie,4.4,10,5.5,7,8,7,1,0.875,2,2,1,1,1,1,1,0,15.00%,2.90%
166,Kevin Stallings,-2.7,302,-4.4,307,5,1,4,0.2,4,1,0,0,0,0,0,0,11.20%,1.60%
167,Kevin Willard,-2.1,290,-2.5,298,8,2,6,0.25,6,2,0,0,0,0,0,0,11.80%,1.30%
168,Kyle Keller,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
169,Lamont Paris,-0.3,188,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
170,Larry Brown,-1,257,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,3.10%,0.20%
171,Larry Eustachy,0,94,-0.3,185,3,1,2,0.333,2,1,0,0,0,0,0,0,1.80%,0.20%
172,Larry Krystowiak,0.1,91,0,95,5,3,2,0.6,2,2,1,0,0,0,0,0,16.70%,2.60%
173,Larry Shyatt,-0.2,153,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
174,LaVall Jordan,-0.1,117,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,3.90%,0.60%
175,Leon Rice,-1.1,264,-1.3,270,2,0,2,0,2,0,0,0,0,0,0,0,1.90%,0.20%
176,Leonard Hamilton,1.3,38,1.2,39,19,11,8,0.579,8,6,4,1,0,0,0,0,34.10%,4.60%
177,LeVelle Moton,-0.3,188,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
178,Linc Darner,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
179,Lon Kruger,-0.4,209,-1.1,253,19,9,10,0.474,10,5,2,1,1,0,0,1,37.70%,5.70%
180,Lorenzo Romar,0.3,80,0.9,47,7,4,3,0.571,3,3,1,0,0,0,0,0,15.70%,2.70%
181,Mark Adams,-0.6,225,0.2,86,3,2,1,0.667,1,1,1,0,0,0,0,0,23.50%,7.70%
182,Mark Few,3.1,20,3.8,16,47,32,15,0.681,15,14,9,5,2,2,0,6,97.20%,68.20%
183,Mark Fox,-0.9,247,-1.2,263,2,0,2,0,2,0,0,0,0,0,0,0,1.40%,0.00%
184,Mark Gottfried,1,45,1.4,35,8,4,4,0.5,4,2,2,0,0,0,0,0,6.60%,0.30%
185,Mark Pope,-0.9,247,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,4.50%,0.40%
186,Mark Schmidt,-1.6,282,-1.4,275,3,0,3,0,3,0,0,0,0,0,0,0,3.00%,0.20%
187,Mark Turgeon,-0.1,117,-0.7,233,17,8,9,0.471,9,7,1,0,0,0,0,0,21.90%,2.70%
188,Martin Ingelsby,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
189,Marvin Menzies,-1.5,277,-1.4,275,5,0,5,0,5,0,0,0,0,0,0,0,1.20%,0.00%
190,Matt Brady,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
191,Matt Langel,-0.9,247,-0.5,213,4,0,4,0,4,0,0,0,0,0,0,0,0.50%,0.00%
192,Matt McCall,-0.2,153,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
193,Matt McMahon,0.6,64,0.1,90,5,2,3,0.4,3,2,0,0,0,0,0,0,1.40%,0.00%
194,Matt Painter,-4.4,308,-4.4,307,29,16,13,0.552,13,9,6,1,0,0,0,2,75.60%,23.30%
195,Micah Shrewsberry,0.3,80,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,2.40%,0.20%
196,Michael White,1.1,44,1.9,29,10,6,4,0.6,4,4,1,1,0,0,0,0,22.90%,5.60%
197,Mick Cronin,-1.5,277,0,95,26,14,12,0.538,12,8,4,1,1,0,0,2,67.70%,23.60%
198,Mike Anderson,0.2,85,0.1,90,12,6,6,0.5,6,4,1,1,0,0,0,0,21.10%,4.10%
199,Mike Boynton,-0.2,153,-0.5,213,2,1,1,0.5,1,1,0,0,0,0,0,0,3.80%,0.30%
200,Mike Brennan,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
201,Mike Brey,-0.2,153,-1.1,253,19,10,9,0.526,9,6,2,2,0,0,0,1,38.00%,6.50%
202,Mike Davis,-0.1,117,-0.1,131,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
203,Mike Hopkins,0.4,73,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.50%,0.00%
204,Mike Jones,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
205,Mike Krzyzewski,2.4,23,0.1,90,44,33,11,0.75,13,11,9,6,3,2,2,11,97.20%,61.10%
206,Mike Lonergan,-0.7,234,-0.6,222,2,0,2,0,2,0,0,0,0,0,0,0,1.30%,0.10%
207,Mike McConathy,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
208,Mike Montgomery,-0.3,188,-0.1,131,5,2,3,0.4,3,2,0,0,0,0,0,0,5.70%,0.60%
209,Mike Morrell,0,94,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
210,Mike Rhoades,-1,257,-1.8,286,3,0,3,0,3,0,0,0,0,0,0,0,1.90%,0.10%
211,Mike Rice,-0.2,153,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
212,Mike Woodson,-0.6,225,-1.1,253,3,1,2,0.333,2,1,0,0,0,0,0,0,5.10%,0.50%
213,Mike Young,-2.8,304,-2.2,296,8,1,7,0.125,7,1,0,0,0,0,0,0,9.20%,0.80%
214,Milan Brown,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
215,Mitch Henderson,1.3,38,1.4,35,4,2,2,0.5,2,1,1,0,0,0,0,0,0.60%,0.00%
216,Monte Ross,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
217,Murray Bartow,-0.2,153,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
218,Nate Oats,-1.2,268,-2.1,294,12,6,6,0.5,6,4,2,0,0,0,0,2,46.80%,15.20%
219,Nathan Davis,-0.3,188,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
220,Nicholas McDevitt,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
221,Niko Medved,-0.5,222,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.10%
222,Oliver Purnell,-3.2,307,-3,301,3,0,3,0,3,0,0,0,0,0,0,0,11.80%,1.60%
223,Pat Chambers,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
224,Pat Kelsey,-0.8,240,-1.3,270,3,0,3,0,3,0,0,0,0,0,0,0,0.70%,0.00%
225,Patrick Ewing,-0.4,209,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,0.90%,0.00%
226,Paul Hewitt,0.2,85,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,2.70%,0.30%
227,Paul Mills,1.6,30,1.4,35,4,2,2,0.5,2,1,1,0,0,0,0,0,0.30%,0.00%
228,Paul Weir,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
229,Penny Hardaway,-1,257,-0.3,185,3,1,2,0.333,2,1,0,0,0,0,0,0,9.70%,1.50%
230,Phil Cunningham,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
231,Phil Martelli,-0.9,247,-1,251,4,1,3,0.25,3,1,0,0,0,0,0,0,5.40%,0.30%
232,Porter Moser,4.1,12,4.6,10,8,6,2,0.75,2,2,2,1,1,0,0,0,8.30%,1.10%
233,Preston Spradlin,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
234,Randy Bennett,-2.7,302,-1.6,280,13,5,8,0.385,8,4,1,0,0,0,0,0,26.70%,5.20%
235,Randy Monroe,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
236,Randy Peele,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
237,Randy Rahe,-0.3,188,-0.1,131,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
238,Ray Harper,-0.3,188,-0.2,156,4,0,4,0,4,0,0,0,0,0,0,0,0.00%,0.00%
239,Ray McCallum,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
