YEAR,TEAM NO,TEAM,SEED,ROUND,POWER RATING,POWER RATING RANK
2021,848,Liberty,13,64,77,376
2021,867,Colgate,14,64,79.6,335
2021,875,Abilene Christian,14,32,77,376
2021,861,Eastern Washington,14,64,76.1,392
2021,841,Morehead St.,14,64,73.7,417
2021,855,Grand Canyon,15,64,74.7,410
2021,832,Oral Roberts,15,16,73.3,422
2021,868,Cleveland St.,15,64,71.8,438
2021,851,Iona,15,64,71.8,438
2021,862,Drexel,16,64,72.4,433
2021,854,Hartford,16,64,70.9,449
2021,873,Appalachian St.,16,68,70.3,452
2021,840,Mount St. Mary's,16,68,68.9,461
2021,822,Texas Southern,16,64,68.8,462
2021,839,Norfolk St.,16,64,68.3,465
2019,798,Duke,1,8,96.3,3
2019,745,Virginia,1,1,95.2,4
2019,792,Gonzaga,1,8,95,6
2019,770,North Carolina,1,16,93.2,13
2019,778,Michigan St.,2,4,92.3,19
2019,785,Kentucky,2,8,91.3,26
2019,753,Tennessee,2,16,91.2,29
2019,779,Michigan,2,16,91,33
2019,752,Texas Tech,3,2,89.7,48
2019,760,Purdue,3,8,89,59
2019,791,Houston,3,16,88.4,76
2019,782,LSU,3,16,87,107
2019,744,Virginia Tech,4,16,89,59
2019,795,Florida St.,4,16,87.9,84
2019,787,Kansas,4,32,86.7,116
2019,786,Kansas St.,4,64,86.1,133
2019,805,Auburn,5,4,89.3,54
2019,742,Wisconsin,5,64,86.5,121
2019,775,Mississippi St.,5,64,85.7,146
2019,781,Marquette,5,64,84.4,186
2019,788,Iowa St.,6,64,86.4,125
2019,746,Villanova,6,32,86.3,129
2019,801,Buffalo,6,32,86.1,133
2019,780,Maryland,6,32,85.1,158
2019,783,Louisville,7,64,85.9,140
2019,772,Nevada,7,64,85.4,153
2019,800,Cincinnati,7,64,84.8,168
2019,741,Wofford,7,32,84.4,186
2019,755,Syracuse,8,64,84,199
2019,749,Utah St.,8,64,82.3,260
2019,748,VCU,8,64,81.7,278
2019,776,Mississippi,8,64,80.8,313
2019,764,Oklahoma,9,32,83,228
2019,750,UCF,9,32,82.6,246
2019,743,Washington,9,32,82.2,263
2019,804,Baylor,9,32,81.7,278
2019,796,Florida,10,32,83.9,203
2019,789,Iowa,10,32,83.6,210
2019,757,Seton Hall,10,64,81.6,285
2019,777,Minnesota,10,32,80.9,311
2019,758,Saint Mary's,11,64,82.6,246
2019,765,Ohio St.,11,32,82.4,256
2019,803,Belmont,11,64,80.8,313
2019,806,Arizona St.,11,64,80.7,315
2019,754,Temple,11,68,79.4,340
2019,756,St. John's,11,68,78.8,347
2019,762,Oregon,12,16,82.6,246
2019,773,Murray St.,12,32,81.3,294
2019,771,New Mexico St.,12,64,80.9,311
2019,784,Liberty,12,32,78.4,354
2019,747,Vermont,13,64,79.3,342
2019,767,Northeastern,13,64,78.6,349
2019,751,UC Irvine,13,32,78,363
2019,759,Saint Louis,13,64,77,376
2019,740,Yale,14,64,77.3,373
2019,766,Northern Kentucky,14,64,77.1,374
2019,763,Old Dominion,14,64,77,376
2019,793,Georgia St.,14,64,76.3,386
2019,774,Montana,15,64,76.2,389
2019,799,Colgate,15,64,75,405
2019,802,Bradley,15,64,72.9,428
2019,807,Abilene Christian,15,64,71.7,441
2019,790,Iona,16,64,72.3,434
2019,794,Gardner Webb,16,64,71.9,436
2019,768,North Dakota St.,16,64,70.3,452
2019,761,Prairie View A&M,16,68,70,454
2019,797,Fairleigh Dickinson,16,64,69.6,458
2019,769,North Carolina Central,16,68,65.5,474
2018,678,Villanova,1,1,94.9,7
2018,677,Virginia,1,64,93.1,15
2018,718,Kansas,1,4,90.9,34
2018,672,Xavier,1,32,88.9,65
2018,725,Duke,2,8,92.6,16
2018,730,Cincinnati,2,32,91.1,31
2018,696,Purdue,2,16,91.1,31
2018,703,North Carolina,2,32,90.6,40
2018,709,Michigan St.,3,32,91.7,24
2018,710,Michigan,3,2,88.5,75
2018,682,Texas Tech,3,8,87.3,98
2018,686,Tennessee,3,32,87.2,102
2018,721,Gonzaga,4,16,89.5,50
2018,674,Wichita St.,4,64,88,81
2018,738,Arizona,4,64,87.9,84
2018,735,Auburn,4,32,84,199
2018,675,West Virginia,5,16,88.6,72
2018,716,Kentucky,5,16,88.2,79
2018,700,Ohio St.,5,32,85.6,148
2018,729,Clemson,5,16,84.2,194
2018,724,Florida,6,32,86.4,125
2018,720,Houston,6,32,86.2,132
2018,687,TCU,6,64,84.8,168
2018,711,Miami FL,6,64,83.9,203
2018,684,Texas A&M,7,16,83.6,210
2018,736,Arkansas,7,64,83.3,220
2018,694,Rhode Island,7,32,83.1,223
2018,705,Nevada,7,16,81.8,272
2018,692,Seton Hall,8,32,85.1,158
2018,727,Creighton,8,64,83.4,218
2018,676,Virginia Tech,8,64,83.4,218
2018,708,Missouri,8,64,78.5,351
2018,723,Florida St.,9,8,83.6,210
2018,739,Alabama,9,32,82.2,263
2018,701,North Carolina St.,9,64,81.7,278
2018,717,Kansas St.,9,8,81.5,288
2018,732,Butler,10,32,84.7,172
2018,685,Texas,10,64,82.9,236
2018,699,Oklahoma,10,64,82.1,266
2018,697,Providence,10,64,81.3,294
2018,681,UCLA,11,68,83.2,221
2018,688,Syracuse,11,16,81.9,267
2018,693,San Diego St.,11,64,81.7,278
2018,737,Arizona St.,11,68,81.3,294
2018,713,Loyola Chicago,11,4,81.3,294
2018,690,St. Bonaventure,11,64,80.3,318
2018,726,Davidson,12,64,81.9,267
2018,704,New Mexico St.,12,64,79.8,329
2018,706,Murray St.,12,64,78.9,345
2018,691,South Dakota St.,12,64,78.1,361
2018,733,Buffalo,13,32,79.1,344
2018,679,UNC Greensboro,13,64,78,363
2018,728,College of Charleston,13,64,76.4,384
2018,712,Marshall,13,32,75.6,397
2018,734,Bucknell,14,64,78.3,357
2018,707,Montana,14,64,76.8,380
2018,689,Stephen F. Austin,14,64,74.8,408
2018,673,Wright St.,14,64,74.3,412
2018,722,Georgia St.,15,64,76,393
2018,719,Iona,15,64,74.8,408
2018,715,Lipscomb,15,64,72.5,432
2018,731,Cal St. Fullerton,15,64,71.9,436
2018,698,Penn,16,64,75.6,397
2018,680,UMBC,16,32,71.4,443
2018,695,Radford,16,64,70.9,449
2018,683,Texas Southern,16,64,67.9,467
2018,714,LIU Brooklyn,16,68,67.6,469
2018,702,North Carolina Central,16,68,65.3,475
2017,612,Villanova,1,32,95.2,4
2017,658,Gonzaga,1,2,93.7,11
2017,654,Kansas,1,8,92.2,22
2017,638,North Carolina,1,1,91.7,24
2017,663,Duke,2,32,92.3,19
2017,651,Kentucky,2,8,92.3,19
2017,650,Louisville,2,32,90.8,36
2017,671,Arizona,2,16,89,59
2017,618,UCLA,3,16,88,81
2017,669,Baylor,3,16,87.7,89
2017,631,Oregon,3,4,87.3,98
2017,659,Florida St.,3,32,87.2,102
2017,608,West Virginia,4,16,90.8,36
2017,628,Purdue,4,16,88.6,72
2017,661,Florida,4,8,87.8,87
2017,667,Butler,4,16,86.5,121
2017,611,Virginia,5,32,90,44
2017,656,Iowa St.,5,32,87.9,84
2017,633,Notre Dame,5,32,86.7,116
2017,643,Minnesota,5,64,81.2,302
2017,624,SMU,6,64,88.4,76
2017,666,Cincinnati,6,32,87.4,94
2017,665,Creighton,6,64,84.4,186
2017,648,Maryland,6,64,82.5,253
2017,626,Saint Mary's,7,32,87.4,94
2017,646,Michigan,7,16,86.9,109
2017,623,South Carolina,7,4,83.1,223
2017,664,Dayton,7,64,82.8,240
2017,605,Wisconsin,8,16,87.8,87
2017,647,Miami FL,8,64,84.6,178
2017,670,Arkansas,8,32,83.2,221
2017,634,Northwestern,8,32,82.6,246
2017,615,Vanderbilt,9,64,83.8,205
2017,625,Seton Hall,9,64,83,228
2017,645,Michigan St.,9,32,82.8,240
2017,610,Virginia Tech,9,64,80,324
2017,607,Wichita St.,10,32,88.9,65
2017,632,Oklahoma St.,10,64,84.7,172
2017,649,Marquette,10,64,83,228
2017,614,VCU,10,64,82.9,236
2017,627,Rhode Island,11,32,84,199
2017,653,Kansas St.,11,64,83.1,223
2017,609,Wake Forest,11,68,83,228
2017,604,Xavier,11,8,82.3,260
2017,629,Providence,11,68,81.8,272
2017,616,USC,11,32,81.2,302
2017,644,Middle Tennessee,12,32,81.3,294
2017,641,Nevada,12,64,80.7,315
2017,617,UNC Wilmington,12,64,80.2,321
2017,630,Princeton,12,64,80,324
2017,613,Vermont,13,64,79.5,339
2017,662,East Tennessee St.,13,64,78.1,361
2017,668,Bucknell,13,64,77.9,366
2017,606,Winthrop,13,64,75.5,400
2017,660,Florida Gulf Coast,14,64,75.8,395
2017,640,New Mexico St.,14,64,75.6,397
2017,657,Iona,14,64,75.5,400
2017,652,Kent St.,14,64,74.3,412
2017,620,Troy,15,64,73.3,422
2017,635,Northern Kentucky,15,64,72.8,430
2017,636,North Dakota,15,64,72.3,434
2017,655,Jacksonville St.,15,64,71.2,446
2017,637,North Carolina Central,16,68,71,447
2017,621,Texas Southern,16,64,71,447
2017,619,UC Davis,16,64,69.9,455
2017,642,Mount St. Mary's,16,64,69.8,457
2017,639,New Orleans,16,68,69.2,460
2017,622,South Dakota St.,16,64,72.8,430
2016,578,Kansas,1,8,94.5,8
2016,570,North Carolina,1,2,93.9,9
2016,542,Virginia,1,8,92.5,18
2016,566,Oregon,1,8,88,81
2016,572,Michigan St.,2,64,91.8,23
2016,543,Villanova,2,1,91.3,26
2016,567,Oklahoma,2,4,90,44
2016,537,Xavier,2,32,87.7,89
2016,540,West Virginia,3,64,89.3,54
2016,574,Miami FL,3,16,87.1,104
2016,552,Texas A&M,3,16,86.8,111
2016,546,Utah,3,32,86.6,118
2016,577,Kentucky,4,32,90.7,39
2016,591,Duke,4,16,87.3,98
2016,579,Iowa St.,4,16,86.5,121
2016,597,California,4,64,85.6,148
2016,562,Purdue,5,64,88.7,69
2016,582,Indiana,5,16,87.4,94
2016,575,Maryland,5,16,87.4,94
2016,601,Baylor,5,64,85.5,152
2016,603,Arizona,6,64,89,59
2016,553,Texas,6,64,84.7,172
2016,560,Seton Hall,6,64,84.5,180
2016,568,Notre Dame,6,8,84.4,186
2016,580,Iowa,7,32,85.9,140
2016,538,Wisconsin,7,16,84.8,168
2016,592,Dayton,7,64,82.4,256
2016,565,Oregon St.,7,64,77.6,370
2016,561,Saint Joseph's,8,32,81.6,285
2016,594,Colorado,8,64,81.5,288
2016,547,USC,8,64,81.4,291
2016,551,Texas Tech,8,64,81.3,294
2016,593,Connecticut,9,32,85.3,155
2016,599,Butler,9,32,84.2,194
2016,595,Cincinnati,9,64,83.7,208
2016,563,Providence,9,32,82.5,253
2016,544,VCU,10,32,83.1,223
2016,555,Syracuse,10,4,82.7,244
2016,564,Pittsburgh,10,64,82.3,260
2016,554,Temple,10,64,78.5,351
2016,539,Wichita St.,11,32,86.6,118
2016,587,Gonzaga,11,16,86,136
2016,545,Vanderbilt,11,68,85.6,148
2016,569,Northern Iowa,11,32,80.2,321
2016,550,Tulsa,11,68,79.9,326
2016,573,Michigan,11,64,79.6,335
2016,536,Yale,12,32,80.2,321
2016,576,Little Rock,12,32,78.9,345
2016,559,South Dakota St.,12,64,78.6,349
2016,596,Chattanooga,12,64,76.6,382
2016,581,Iona,13,64,78.2,358
2016,584,Hawaii,13,32,78,363
2016,548,UNC Wilmington,13,64,77.7,368
2016,556,Stony Brook,13,64,77.1,374
2016,557,Stephen F. Austin,14,32,81,310
2016,588,Fresno St.,14,64,76.6,382
2016,586,Green Bay,14,64,76.2,389
2016,600,Buffalo,14,64,75.7,396
2016,598,Cal St. Bakersfield,15,64,75,405
2016,571,Middle Tennessee,15,32,75,405
2016,549,UNC Asheville,15,64,74.2,415
2016,541,Weber St.,15,64,73.3,422
2016,589,Florida Gulf Coast,16,64,71.4,443
2016,602,Austin Peay,16,64,68.8,462
2016,585,Hampton,16,64,68.6,464
2016,558,Southern,16,68,68,466
2016,583,Holy Cross,16,64,66.8,471
2016,590,Fairleigh Dickinson,16,68,66.7,472
