YEAR,TEAM NO,TEAM,SEED,ROUND,AP VOTES,AP RANK,RANK?
2022,883,USC,7,64,30,28,0
2022,941,Arizona,1,16,26,29,0
2022,,Oklahoma St.,,,25,30,0
2022,880,Virginia Tech,11,64,25,30,0
2022,,Xavier,,,22,32,0
2022,886,Texas Tech,3,16,17,33,0
2022,899,Richmond,12,32,13,34,0
2022,932,Colorado St.,6,64,11,35,0
2022,898,Rutgers,11,68,11,35,0
2022,,Belmont,,,7,37,0
2022,914,LSU,6,64,7,37,0
2022,,Mississppi St.,,,5,39,0
2022,895,San Diego St.,8,64,5,39,0
2022,,St. John's,,,5,39,0
2022,,Syracuse,,,5,39,0
2022,,Colorado,,,4,43,0
2022,,Drake,,,4,43,0
2022,,BYU,,,3,45,0
2022,,Louisville,,,3,45,0
2022,903,Notre Dame,11,32,3,45,0
2021,856,Gonzaga,1,2,1541,1,1
2021,871,Baylor,1,1,1540,2,1
2021,814,Villanova,5,16,1501,3,1
2021,813,Virginia,4,64,1364,4,1
2021,850,Iowa,2,32,1273,5,1
2021,849,Kansas,3,32,1221,6,1
2021,808,Wisconsin,9,32,1150,7,1
2021,852,Illinois,1,32,1105,8,1
2021,,Duke,,,1073,9,1
2021,,Kentucky,,,1038,10,1
2021,864,Creighton,5,16,922,11,1
2021,824,Tennessee,5,64,919,12,1
2021,843,Michigan St.,11,68,820,13,1
2021,821,Texas Tech,6,32,790,14,1
2021,811,West Virginia,3,32,651,15,1
2021,838,North Carolina,8,64,465,16,1
2021,853,Houston,2,4,438,17,1
2021,,Arizona St.,,,402,18,1
2021,823,Texas,3,64,380,19,1
2021,831,Oregon,7,16,375,20,1
2021,859,Florida St.,4,16,351,21,1
2021,819,UCLA,11,4,336,22,1
2021,835,Ohio St.,2,64,270,23,1
2021,828,Rutgers,10,32,190,24,1
2021,844,Michigan,1,8,160,25,1
2021,846,LSU,8,32,146,26,0
2021,860,Florida,7,32,69,27,0
2021,,Memphis,,,69,27,0
2021,874,Alabama,2,16,50,29,0
2021,,Indiana,,,48,30,0
2021,,Louisville,,,41,31,0
2021,,Richmond,,,40,32,0
2021,,Stanford,,,14,33,0
2021,,Providence,,,9,34,0
2021,,Auburn,,,8,35,0
2021,,Saint Louis,,,8,35,0
2021,865,Connecticut,7,64,6,37,0
2021,827,San Diego St.,6,64,6,37,0
2021,870,BYU,6,64,4,39,0
2021,847,Loyola Chicago,8,16,3,40,0
2021,,Seton Hall,,,2,41,0
2021,,Northern Iowa,,,1,42,0
2021,818,UNC Greensboro,13,64,1,42,0
2019,787,Kansas,4,32,1581,1,1
2019,785,Kentucky,2,8,1529,2,1
2019,792,Gonzaga,1,8,1461,3,1
2019,798,Duke,1,8,1452,4,1
2019,745,Virginia,1,1,1286,5,1
2019,753,Tennessee,2,16,1268,6,1
2019,772,Nevada,7,64,1230,7,1
2019,770,North Carolina,1,16,1221,8,1
2019,746,Villanova,6,32,1085,9,1
2019,778,Michigan St.,2,4,1024,10,1
2019,805,Auburn,5,4,974,11,1
2019,786,Kansas St.,4,64,922,12,1
2019,,West Virginia,,,678,13,1
2019,762,Oregon,12,16,638,14,1
2019,744,Virginia Tech,4,16,630,15,1
2019,755,Syracuse,8,64,620,16,1
2019,795,Florida St.,4,16,530,17,1
2019,775,Mississippi St.,5,64,451,18,1
2019,779,Michigan,2,16,437,19,1
2019,,TCU,,,311,20,1
2019,,UCLA,,,297,21,1
2019,,Clemson,,,268,22,1
2019,782,LSU,3,16,187,23,1
2019,760,Purdue,3,8,170,24,1
2019,743,Washington,9,32,165,25,1
2019,,Loyola Chicago,,,162,26,0
2019,781,Marquette,5,64,124,27,0
2019,,Indiana,,,98,28,0
2019,796,Florida,10,32,71,29,0
2019,,Nebraska,,,35,30,0
2019,780,Maryland,6,32,28,31,0
2019,742,Wisconsin,5,64,24,32,0
2019,,Notre Dame,,,22,33,0
2019,800,Cincinnati,7,64,21,34,0
2019,,Alabama,,,15,35,0
2019,750,UCF,9,32,15,35,0
2019,,Arizona,,,14,37,0
2019,801,Buffalo,6,32,14,37,0
2019,783,Louisville,7,64,11,39,0
2019,,Miami FL,,,10,40,0
2019,,San Diego St.,,,9,41,0
2019,,Butler,,,6,42,0
2019,752,Texas Tech,3,2,6,42,0
2019,,USC,,,6,42,0
2019,,Texas,,,5,45,0
2019,806,Arizona St.,11,64,3,46,0
2019,756,St. John's,11,68,3,46,0
2019,,Providence,,,2,48,0
2019,,Xavier,,,2,48,0
2019,,Davidson,,,1,50,0
2019,,Marshall,,,1,50,0
2019,,Missouri,,,1,50,0
2019,,North Carolina St.,,,1,50,0
2018,725,Duke,2,8,1572,1,1
2018,709,Michigan St.,3,32,1520,2,1
2018,738,Arizona,4,64,1506,3,1
2018,718,Kansas,1,4,1439,4,1
2018,716,Kentucky,5,16,1340,5,1
2018,678,Villanova,1,1,1284,6,1
2018,674,Wichita St.,4,64,1270,7,1
2018,724,Florida,6,32,1100,8,1
2018,703,North Carolina,2,32,1047,9,1
2018,,USC,,,995,10,1
2018,675,West Virginia,5,16,840,11,1
2018,730,Cincinnati,2,32,837,12,1
2018,711,Miami FL,6,64,836,13,1
2018,,Notre Dame,,,814,14,1
2018,,Minnesota,,,642,15,1
2018,,Louisville,,,570,16,1
2018,672,Xavier,1,32,544,17,1
2018,721,Gonzaga,4,16,500,18,1
2018,,Northwestern,,,473,19,1
2018,696,Purdue,2,16,362,20,1
2018,681,UCLA,11,68,340,21,1
2018,,Saint Mary's,,,333,22,1
2018,692,Seton Hall,8,32,274,23,1
2018,,Baylor,,,163,24,1
2018,684,Texas A&M,7,16,130,25,1
2018,739,Alabama,9,32,86,26,0
2018,677,Virginia,1,64,57,27,0
2018,694,Rhode Island,7,32,49,28,0
2018,687,TCU,6,64,46,29,0
2018,697,Providence,10,64,34,30,0
2018,708,Missouri,8,64,19,31,0
2018,676,Virginia Tech,8,64,16,32,0
2018,,Wisconsin,,,14,33,0
2018,732,Butler,10,32,13,34,0
2018,685,Texas,10,64,10,35,0
2018,,Maryland,,,7,36,0
2018,705,Nevada,7,16,7,36,0
2018,699,Oklahoma,10,64,7,36,0
2018,710,Michigan,3,2,6,39,0
2018,,Dayton,,,5,40,0
2018,,Ball St.,,,4,41,0
2018,,Middle Tennessee,,,4,41,0
2018,,SMU,,,3,43,0
2018,,Oakland,,,2,44,0
2018,,Oregon,,,2,44,0
2018,,Harvard,,,1,46,0
2018,,South Carolina,,,1,46,0
2018,,UCF,,,1,46,0
2017,663,Duke,2,32,1612,1,1
2017,651,Kentucky,2,8,1479,2,1
2017,654,Kansas,1,8,1476,3,1
2017,612,Villanova,1,32,1465,4,1
2017,,Oregon,,,1343,5,1
2017,638,North Carolina,1,1,1314,6,1
2017,604,Xavier,11,8,1167,7,1
2017,611,Virginia,5,32,1149,8,1
2017,605,Wisconsin,8,16,1135,9,1
2017,671,Arizona,2,16,1004,10,1
2017,,Indiana,,,917,11,1
2017,645,Michigan St.,9,32,903,12,1
2017,650,Louisville,2,32,755,13,1
2017,658,Gonzaga,1,2,699,14,1
2017,628,Purdue,4,16,672,15,1
2017,618,UCLA,3,16,540,16,1
2017,626,Saint Mary's,7,32,512,17,1
2017,,Connecticut,,,504,18,1
2017,,Syracuse,,,464,19,1
2017,608,West Virginia,4,16,360,20,1
2017,,Texas,,,250,21,1
2017,665,Creighton,6,64,231,22,1
2017,627,Rhode Island,11,32,199,23,1
2017,656,Iowa St.,5,32,168,24,1
2017,648,Maryland,6,64,144,25,1
2017,666,Cincinnati,6,32,110,26,0
2017,664,Dayton,7,64,98,27,0
2017,659,Florida St.,3,32,88,28,0
2017,,California,,,74,29,0
2017,,San Diego St.,,,48,30,0
2017,647,Miami FL,8,64,35,31,0
2017,,North Carolina St.,,,29,32,0
2017,667,Butler,4,16,21,33,0
2017,607,Wichita St.,10,32,21,33,0
2017,661,Florida,4,8,18,35,0
2017,,Ohio St.,,,18,35,0
2017,610,Virginia Tech,9,64,18,35,0
2017,,Mississippi St.,,,14,38,0
2017,,Texas A&M,,,14,38,0
2017,,Oklahoma,,,11,40,0
2017,,Colorado,,,10,41,0
2017,646,Michigan,7,16,8,42,0
2017,,Monmouth,,,7,43,0
2017,633,Notre Dame,5,32,6,44,0
2017,625,Seton Hall,9,64,5,45,0
2017,,Washington,,,5,45,0
2017,630,Princeton,12,64,2,47,0
2017,,Harvard,,,1,48,0
2017,,Ohio,,,1,48,0
2017,615,Vanderbilt,9,64,1,48,0
2016,570,North Carolina,1,2,1566,1,1
2016,577,Kentucky,4,32,1520,2,1
2016,575,Maryland,5,16,1487,3,1
2016,578,Kansas,1,8,1410,4,1
2016,591,Duke,4,16,1350,5,1
2016,542,Virginia,1,8,1347,6,1
2016,579,Iowa St.,4,16,1185,7,1
2016,567,Oklahoma,2,4,1088,8,1
2016,587,Gonzaga,11,16,1047,9,1
2016,539,Wichita St.,11,32,1032,10,1
2016,543,Villanova,2,1,1013,11,1
2016,603,Arizona,6,64,917,12,1
2016,572,Michigan St.,2,64,838,13,1
2016,597,California,4,64,757,14,1
2016,582,Indiana,5,16,755,15,1
2016,,Utah,,,499,16,1
2016,538,Wisconsin,7,16,433,17,1
2016,545,Vanderbilt,11,68,393,18,1
2016,568,Notre Dame,6,8,360,19,1
2016,593,Connecticut,9,32,307,20,1
2016,,LSU,,,268,21,1
2016,601,Baylor,5,64,265,22,1
2016,562,Purdue,5,64,236,23,1
2016,599,Butler,9,32,223,24,1
2016,573,Michigan,11,64,126,25,1
2016,566,Oregon,1,8,116,26,0
2016,,SMU,,,112,27,0
2016,540,West Virginia,3,64,84,28,0
2016,552,Texas A&M,3,16,72,29,0
2016,595,Cincinnati,9,64,63,30,0
2016,574,Miami FL,3,16,48,31,0
2016,,Louisville,,,46,32,0
2016,,Georgetown,,,23,33,0
2016,,North Carolina St.,,,19,34,0
2016,,Florida St.,,,18,35,0
2016,553,Texas,6,64,18,35,0
2016,,Rhode Island,,,17,37,0
2016,592,Dayton,7,64,12,38,0
2016,537,Xavier,2,32,12,38,0
2016,563,Providence,9,32,10,40,0
2016,580,Iowa,7,32,6,41,0
2016,,BYU,,,5,42,0
2016,,Valparaiso,,,5,42,0
2016,,Boise St.,,,4,44,0
2016,,Old Dominion,,,3,45,0
2016,,Oklahoma St.,,,2,46,0
2016,,San Diego St.,,,2,46,0
2016,,UCLA,,,2,46,0
2016,,Central Michigan,,,1,49,0
2016,581,Iona,13,64,1,49,0
2016,,UC Irvine,,,1,49,0
2016,536,Yale,12,32,1,49,0
2015,510,Kentucky,1,4,1604,1,1
2015,534,Arizona,2,8,1518,2,1
2015,471,Wisconsin,1,2,1483,3,1
2015,522,Duke,1,1,1415,4,1
2015,511,Kansas,2,32,1346,5,1
2015,501,North Carolina,4,16,1274,6,1
2015,,Florida,,,1153,7,1
2015,508,Louisville,4,8,1114,8,1
2015,474,Virginia,2,32,1090,9,1
2015,483,Texas,11,64,1061,10,1
2015,472,Wichita St.,7,16,1027,11,1
2015,475,Villanova,1,32,885,12,1
2015,517,Gonzaga,2,8,840,13,1
2015,512,Iowa St.,3,64,781,14,1
2015,476,VCU,7,64,574,15,1
2015,487,San Diego St.,8,32,560,16,1
2015,,Connecticut,,,552,17,1
2015,504,Michigan St.,7,4,521,18,1
2015,493,Oklahoma,3,16,426,19,1
2015,494,Ohio St.,10,32,340,20,1
2015,,Nebraska,,,309,21,1
2015,486,SMU,6,64,285,22,1
2015,,Syracuse,,,178,23,1
2015,,Michigan,,,167,24,1
2015,515,Harvard,13,64,98,25,1
2015,478,Utah,5,16,98,25,1
2015,,Stanford,,,71,27,0
2015,513,Iowa,7,32,58,28,0
2015,,Colorado,,,57,29,0
2015,479,UCLA,11,16,35,30,0
2015,,Minnesota,,,34,31,0
2015,,Kansas St.,,,27,32,0
2015,533,Arkansas,5,32,21,33,0
2015,,Pittsburgh,,,20,34,0
2015,,Memphis,,,15,35,0
2015,500,North Carolina St.,8,16,14,36,0
2015,,Louisiana Tech,,,9,37,0
2015,526,Cincinnati,8,32,8,38,0
2015,507,LSU,9,64,8,38,0
2015,,George Washington,,,7,40,0
2015,523,Dayton,11,32,6,41,0
2015,495,Notre Dame,3,8,6,41,0
2015,492,Oklahoma St.,9,64,6,41,0
2015,,Florida St.,,,5,44,0
2015,,Georgetown,,,5,44,0
2015,,Illinois,,,3,46,0
2015,505,Maryland,4,32,3,46,0
2015,527,BYU,11,68,2,48,0
2015,,UNLV,,,2,48,0
2015,532,Baylor,3,64,1,50,0
2015,484,Stephen F. Austin,12,64,1,50,0
2015,,UTEP,,,1,50,0
2015,473,West Virginia,5,16,1,50,0
2014,443,Kentucky,8,2,1546,1,1
2014,435,Michigan St.,4,8,1543,2,1
2014,441,Louisville,4,16,1501,3,1
2014,453,Duke,3,64,1435,4,1
2014,445,Kansas,2,32,1357,5,1
2014,465,Arizona,1,8,1311,6,1
2014,436,Michigan,2,8,1120,7,1
2014,423,Oklahoma St.,9,64,1093,8,1
2014,414,Syracuse,3,32,1093,8,1
2014,451,Florida,1,4,1048,10,1
2014,425,Ohio St.,6,64,1036,11,1
2014,429,North Carolina,6,32,954,12,1
2014,438,Memphis,8,32,741,13,1
2014,408,VCU,5,64,680,14,1
2014,449,Gonzaga,8,32,538,15,1
2014,403,Wichita St.,1,32,512,16,1
2014,,Marquette,,,510,17,1
2014,457,Connecticut,7,1,448,18,1
2014,422,Oregon,7,32,408,19,1
2014,402,Wisconsin,2,4,338,20,1
2014,,Notre Dame,,,332,21,1
2014,409,UCLA,4,16,244,22,1
2014,431,New Mexico,7,64,213,23,1
2014,406,Virginia,1,16,189,24,1
2014,463,Baylor,6,16,180,25,1
2014,413,Tennessee,11,16,176,26,0
2014,456,Creighton,3,32,145,27,0
2014,,Indiana,,,111,28,0
2014,458,Colorado,8,64,83,29,0
2014,447,Iowa,11,68,83,29,0
2014,448,Harvard,12,32,46,31,0
2014,,Boise St.,,,22,32,0
2014,407,Villanova,2,32,14,33,0
2014,464,Arizona St.,10,64,11,34,0
2014,,Georgetown,,,11,34,0
2014,,UNLV,,,8,36,0
2014,,Washington,,,8,36,0
2014,,LSU,,,6,38,0
2014,421,Pittsburgh,9,32,6,38,0
2014,416,Stanford,10,16,6,38,0
2014,,Boston College,,,5,41,0
2014,,La Salle,,,4,42,0
2014,,Missouri,,,3,43,0
2014,418,Saint Louis,5,32,3,43,0
2014,,St. John's,,,3,43,0
2014,460,Cincinnati,5,64,1,46,0
2013,379,Indiana,1,16,1592,1,1
2013,370,Louisville,1,1,1568,2,1
2013,,Kentucky,,,1453,3,1
2013,352,Ohio St.,2,8,1292,4,1
2013,366,Michigan,4,2,1290,5,1
2013,355,North Carolina St.,8,64,1270,6,1
2013,375,Kansas,1,16,1210,7,1
2013,386,Duke,2,8,1094,8,1
2013,341,Syracuse,4,4,1062,9,1
2013,385,Florida,3,8,936,10,1
2013,357,North Carolina,8,32,904,11,1
2013,397,Arizona,6,16,902,12,1
2013,339,UCLA,6,64,840,13,1
2013,365,Michigan St.,3,16,789,14,1
2013,361,Missouri,9,64,664,15,1
2013,388,Creighton,7,32,622,16,1
2013,368,Memphis,6,32,539,17,1
2013,338,UNLV,5,64,488,18,1
2013,,Baylor,,,486,19,1
2013,344,San Diego St.,7,32,463,20,1
2013,382,Gonzaga,1,32,384,21,1
2013,353,Notre Dame,7,64,297,22,1
2013,332,Wisconsin,5,64,285,23,1
2013,391,Cincinnati,10,64,120,24,1
2013,,Florida St.,,,101,25,1
2013,,Murray St.,,,59,26,0
2013,336,VCU,5,32,58,27,0
2013,346,Saint Louis,4,32,46,28,0
2013,,Texas,,,46,28,0
2013,363,Minnesota,11,32,40,30,0
2013,393,Butler,6,32,33,31,0
2013,347,Pittsburgh,8,64,32,32,0
2013,,Saint Joseph's,,,25,33,0
2013,369,Marquette,3,8,23,34,0
2013,,Tennessee,,,15,35,0
2013,350,Oklahoma St.,5,64,14,36,0
2013,374,Kansas St.,4,64,12,37,0
2013,383,Georgetown,2,64,9,38,0
2013,359,New Mexico,3,64,9,38,0
2013,,Ohio,,,9,38,0
2013,367,Miami FL,2,16,8,41,0
2013,345,Saint Mary's,11,64,6,42,0
2013,,West Virginia,,,6,42,0
2013,387,Davidson,14,64,5,44,0
2013,,Drexel,,,5,44,0
2013,,Northern Iowa,,,5,44,0
2013,337,Valparaiso,14,64,3,47,0
2013,,Lehigh,,,2,48,0
2013,,Stanford,,,2,48,0
2013,389,Colorado St.,8,32,1,50,0
2013,,Oral Roberts,,,1,50,0
2012,290,North Carolina,1,8,1620,1,1
2012,308,Kentucky,1,1,1501,2,1
2012,286,Ohio St.,2,4,1482,3,1
2012,323,Connecticut,9,64,1433,4,1
2012,277,Syracuse,1,8,1338,5,1
2012,319,Duke,2,64,1301,6,1
2012,272,Vanderbilt,5,32,1120,7,1
2012,318,Florida,7,8,1086,8,1
2012,303,Louisville,4,4,1055,9,1
2012,,Pittsburgh,,,1027,10,1
2012,300,Memphis,8,64,997,11,1
2012,330,Baylor,3,8,892,12,1
2012,310,Kansas,2,2,755,13,1
2012,264,Xavier,10,16,747,14,1
2012,265,Wisconsin,4,16,720,15,1
2012,,Arizona,,,616,16,1
2012,,UCLA,,,404,17,1
2012,299,Michigan,4,64,401,18,1
2012,331,Alabama,9,64,395,19,1
2012,,Texas A&M,,,357,20,1
2012,326,Cincinnati,6,16,353,21,1
2012,301,Marquette,3,16,335,22,1
2012,315,Gonzaga,7,32,283,23,1
2012,327,California,12,68,230,24,1
2012,296,Missouri,2,64,139,25,1
2012,317,Florida St.,3,32,131,26,0
2012,298,Michigan St.,1,16,128,27,0
2012,276,Temple,5,64,69,28,0
2012,,Washington,,,44,29,0
2012,293,New Mexico,5,32,33,30,0
2012,,Butler,,,25,31,0
2012,275,Texas,11,64,21,32,0
2012,,Villanova,,,14,33,0
2012,322,Creighton,8,32,12,34,0
2012,285,Purdue,10,32,10,35,0
2012,329,Belmont,14,64,8,36,0
2012,,Drexel,,,8,36,0
2012,273,UNLV,6,64,7,38,0
2012,283,Saint Mary's,7,64,6,39,0
2012,,George Mason,,,5,40,0
2012,268,West Virginia,10,64,4,41,0
2012,304,Long Beach St.,12,64,3,42,0
2012,,Miami FL,,,3,42,0
2012,314,Harvard,12,64,2,44,0
2012,,Illinois,,,2,44,0
2012,,Marshall,,,1,46,0
2012,,Minnesota,,,1,46,0
2012,282,San Diego St.,6,64,1,46,0
2011,252,Duke,1,16,1613,1,1
2011,233,Michigan St.,10,64,1558,2,1
2011,241,Kansas St.,5,32,1414,3,1
2011,226,Ohio St.,1,16,1368,4,1
2011,223,Pittsburgh,1,32,1310,5,1
2011,201,Villanova,9,64,1198,6,1
2011,242,Kansas,1,8,1172,7,1
2011,230,North Carolina,2,8,1034,8,1
2011,251,Florida,2,8,997,9,1
2011,216,Syracuse,3,32,920,10,1
2011,240,Kentucky,4,4,917,11,1
2011,246,Gonzaga,11,32,889,12,1
2011,244,Illinois,9,32,773,13,1
2011,221,Purdue,3,32,771,14,1
2011,232,Missouri,11,64,700,15,1
2011,,Baylor,,,625,16,1
2011,257,Butler,8,2,607,17,1
2011,200,Washington,7,32,572,18,1
2011,235,Memphis,12,64,551,19,1
2011,248,Georgetown,6,64,363,20,1
2011,,Virginia Tech,,,288,21,1
2011,215,Temple,7,32,265,22,1
2011,214,Tennessee,9,64,252,23,1
2011,256,BYU,3,16,198,24,1
2011,218,San Diego St.,2,16,158,25,1
2011,198,Wisconsin,4,16,126,26,0
2011,213,Texas,4,32,107,27,0
2011,247,Georgia,10,64,67,28,0
2011,199,West Virginia,5,32,65,29,0
2011,,Minnesota,,,55,30,0
2011,250,Florida St.,10,16,28,31,0
2011,,Wichita St.,,,28,31,0
2011,207,UNLV,8,64,21,33,0
2011,220,Richmond,12,16,17,34,0
2011,,Murray St.,,,15,35,0
2011,203,Vanderbilt,5,64,14,36,0
2011,,North Carolina St.,,,10,37,0
2011,261,Arizona,5,8,8,38,0
2011,253,Connecticut,3,1,8,38,0
2011,,Colorado,,,7,40,0
2011,,Mississippi St.,,,7,40,0
2011,209,UCLA,7,32,5,42,0
2011,,Miami FL,,,4,43,0
2011,,Ohio,,,4,43,0
2011,205,Utah St.,12,64,4,43,0
2011,196,Xavier,6,64,4,43,0
2011,,Dayton,,,3,47,0
2011,225,Old Dominion,9,64,2,48,0
2011,,Georgia Tech,,,1,49,0
2011,,New Mexico,,,1,49,0
2011,197,Wofford,14,64,1,49,0
2010,180,Kansas,1,32,1612,1,1
2010,173,Michigan St.,5,4,1515,2,1
2010,146,Texas,8,64,1397,3,1
2010,178,Kentucky,1,8,1372,4,1
2010,138,Villanova,2,32,1347,5,1
2010,,North Carolina,,,1320,6,1
2010,156,Purdue,4,16,1284,7,1
2010,135,West Virginia,2,4,1115,8,1
2010,188,Duke,1,1,1064,9,1
2010,147,Tennessee,6,8,897,10,1
2010,193,Butler,5,2,864,11,1
2010,,Connecticut,,,844,12,1
2010,191,California,8,32,800,13,1
2010,136,Washington,11,16,776,14,1
2010,,Michigan,,,578,15,1
2010,160,Ohio St.,2,16,465,16,1
2010,,Oklahoma,,,410,17,1
2010,,Mississippi St.,,,393,18,1
2010,176,Louisville,9,64,335,19,1
2010,184,Georgetown,3,64,326,20,1
2010,,Dayton,,,318,21,1
2010,183,Georgia Tech,10,32,301,22,1
2010,,Illinois,,,282,23,1
2010,190,Clemson,7,64,217,24,1
2010,172,Minnesota,11,64,172,25,1
2010,174,Maryland,4,32,171,26,0
2010,150,Siena,13,64,112,27,0
2010,163,Notre Dame,6,64,107,28,0
2010,185,Florida St.,9,64,92,29,0
2010,140,Vanderbilt,4,64,90,30,0
2010,149,Syracuse,1,16,83,31,0
2010,159,Oklahoma St.,7,64,65,32,0
2010,,UCLA,,,63,33,0
2010,186,Florida,10,64,53,34,0
2010,137,Wake Forest,9,32,50,35,0
2010,131,Xavier,6,16,42,36,0
2010,182,Gonzaga,8,32,37,37,0
2010,,South Carolina,,,28,38,0
2010,179,Kansas St.,2,8,24,39,0
2010,192,BYU,7,32,21,40,0
2010,164,Northern Iowa,9,16,16,41,0
2010,,Tulsa,,,16,41,0
2010,,Mississippi,,,15,43,0
2010,145,Texas A&M,5,32,10,44,0
2010,171,Missouri,10,32,8,45,0
2010,,Boston College,,,6,46,0
2010,157,Pittsburgh,3,32,4,47,0
2010,142,Utah St.,12,64,2,48,0
2010,,VCU,,,2,48,0
2010,,Western Kentucky,,,2,48,0
2010,,Holy Cross,,,1,51,0
2010,158,Old Dominion,11,32,1,51,0
2009,95,North Carolina,1,1,1800,1,1
2009,116,Connecticut,1,4,1661,2,1
2009,107,Louisville,1,8,1638,3,1
2009,77,UCLA,6,32,1487,4,1
2009,89,Pittsburgh,1,8,1319,5,1
2009,101,Michigan St.,2,2,1311,6,1
2009,79,Texas,7,32,1259,7,1
2009,113,Duke,2,16,1250,8,1
2009,,Notre Dame,,,1243,9,1
2009,110,Gonzaga,4,16,1162,10,1
2009,87,Purdue,5,16,1099,11,1
2009,91,Oklahoma,2,8,987,12,1
